Name,Keywords,Description,Location
BMW Group,"BMW Group, BMW, stock market symbol, Munich, Germany, CEO, luxury cars, motorcycles, electric vehicles, automotive, innovation, engineering, design, sustainability, performance, technology, mobility, driving experience, global, premium, automotive industry, manufacturing, sales, marketing, customer service, finance, research and development, corporate responsibility, corporate culture, teamwork, diversity, leadership, excellence, quality, reliability, safety, efficiency, profitability, growth, expansion, brand, iconic, history, heritage, tradition, innovation, progress, success, achievement.","Munich, Bavaria, Germany - March 31 2023: BMW Group, a leading global manufacturer of luxury vehicles, announces new innovations in electric and autonomous driving technology. #BMWGroup #innovation #electricvehicles #autonomousdriving","Munich, Bavaria, Germany."
Siemens AG,"Siemens, AG, stock market symbol, city, state, country, CEO name, engineering, technology, innovation, automation, energy, healthcare, transportation, infrastructure, digitalization, industry, manufacturing, power, mobility, building technologies, renewable energy, smart grid, software, hardware, electronics, communication, appliances, turbines, generators, motors, transformers, lighting, security, fire safety, water treatment, process automation, medical imaging, laboratory diagnostics, clinical solutions, healthcare IT, trains, rail automation, signaling, maintenance, service, solutions, global, sustainable, reliable, efficient.","Munich, Bavaria, Germany - March 31 2023: Siemens AG, a multinational conglomerate, specializes in electrification, automation, and digitalization solutions.","Munich, Bavaria, Germany."
Allianz SE,"Allianz, SE, stock market symbol, Munich, Germany, CEO, insurance, financial services, asset management, life insurance, health insurance, property insurance, casualty insurance, retirement planning, investment management, global, multinational, diversified, risk management, corporate responsibility, sustainability, innovation, customer service, digital transformation, financial stability, growth, profitability, leadership, teamwork, collaboration, excellence, performance, efficiency, effectiveness, reliability, trust, reputation, brand, market leader, competitive advantage, strategic partnerships, community engagement, philanthropy, employee development, diversity, inclusion, empowerment, work-life balance, corporate culture, values, mission, vision.","Munich, Bavaria, Germany - March 31 2023: Allianz SE, a leading global insurance company, provides a wide range of insurance and asset management services to individuals and businesses in over 70 countries.","Munich, Bavaria, Germany"
MAN Truck & Bus AG,"MAN Truck & Bus AG, MAN, Truck, Bus, AG, CEO, Joachim Drees, Munich, Germany, Commercial vehicles, Transportation, Logistics, Engineering, Automotive, Diesel engines, Electric buses, Hybrid buses, Public transport, Heavy-duty trucks, Light-duty trucks, Semi-trucks, Trailers, Spare parts, Maintenance, Repair, Service, Fleet management, Driver assistance systems, Autonomous driving, Safety, Efficiency, Sustainability, Innovation, Technology, Quality, Reliability, Performance, Customer satisfaction, Global, Europe, Asia, Africa, Americas, Stock market, DAX, Volkswagen Group, Partnership, Collaboration, Competitiveness, Growth.","Munich, Bavaria, Germany - March 31 2023: MAN Truck & Bus AG, a leading commercial vehicle manufacturer, produces innovative and sustainable transportation solutions for businesses worldwide.","Munich, Bavaria, Germany"
Munich Re Group,"Munich Re Group, insurance, reinsurance, risk management, financial services, Munich, Germany, CEO Joachim Wenning, catastrophe, underwriting, claims, liability, property, casualty, life, health, cyber, climate change, natural disasters, innovation, sustainability, global, investments, stock market symbol MUV2, Frankfurt, Bavaria, Europe, Asia, Americas, Africa, Australia, clients, partnerships, solutions, expertise, knowledge, research, analysis, data, technology, digitalization, workforce, diversity, inclusion, corporate responsibility, governance, ethics, transparency.","Munich, Bavaria, Germany - March 31 2023: Munich Re Group, a leading global reinsurer, provides risk management solutions to clients worldwide.","Munich, Bavaria, Germany"
Linde AG,"Linde, AG, stock market symbol, city, state, country, CEO, industrial gases, engineering, healthcare, food processing, beverage, electronics, energy, environment, manufacturing, chemicals, pharmaceuticals, refrigeration, welding, cutting, safety, productivity, sustainability, innovation, technology, research, development, production, distribution, logistics, customer service, global, diverse, reliable, efficient, safe, quality, performance, growth, profitability, leadership, teamwork, collaboration, excellence, responsibility, accountability, integrity, respect.","Munich, Bavaria, Germany - March 31 2023: Linde AG, a leading industrial gases and engineering company, provides innovative solutions for a wide range of industries worldwide.","Munich, Bavaria, Germany."
Infineon Technologies AG,"Infineon Technologies AG, semiconductor, microelectronics, automotive, power management, security, sensors, connectivity, renewable energy, Munich, Germany, Reinhard Ploss, stock market: IFNNY, power semiconductors, smart card ICs, radar, lidar, IoT, Industry 4.0, electric vehicles, e-mobility, renewable energy, power electronics, microcontrollers, analog, digital, mixed-signal, wireless, Bluetooth, Wi-Fi, NFC, USB, Ethernet, CAN, LIN, ISO 26262, AURIX, XMC, OPTIGA, CIPURSE, CoolMOS, IGBT, MOSFET, SiC, GaN, automotive electronics, security controllers, smart card readers, payment systems, biometric sensors, fingerprint recognition, facial recognition, voice recognition, cyber security, data privacy.","Munich, Bavaria, Germany - March 31 2023: Infineon Technologies AG, a leading semiconductor manufacturer, provides innovative solutions for automotive, industrial, and security applications.","Munich, Bavaria, Germany"
Osram Licht AG,"Osram Licht AG, Osram, Licht, stock market symbol, Munich, Germany, CEO, lighting, LED, automotive, semiconductor, sensors, digital, lighting solutions, innovation, technology, energy efficiency, sustainability, lighting systems, lighting management, lighting design, lighting control, lighting applications, lighting products, lighting services, lighting components, lighting solutions provider, lighting industry, lighting manufacturer, lighting supplier, lighting company, lighting technology, lighting innovations, lighting experts, lighting professionals, lighting specialists, lighting engineers, lighting designers, lighting architects, lighting consultants, lighting contractors, lighting distributors, lighting retailers, lighting wholesalers, lighting partners, lighting customers, lighting users.","Munich, Bavaria, Germany - March 31 2023: Osram Licht AG, a leading global lighting technology company, providing innovative solutions for a sustainable future.","Munich, Bavaria, Germany"
Rohde & Schwarz GmbH & Co KG,"Rohde & Schwarz, GmbH, Co KG, stock market symbol, electronics, test and measurement, communications, broadcasting, security, Munich, Germany, CEO, Christian Leicher, oscilloscopes, spectrum analyzers, signal generators, network analyzers, power meters, audio analyzers, EMC test systems, wireless communications, mobile network testing, cybersecurity, encryption, decryption, monitoring, surveillance, radio monitoring, radio direction finding, signal intelligence, tactical communications, critical communications, public safety, aerospace, defense, automotive, research and development, innovation, quality, reliability, precision, excellence.","Munich, Bavaria, Germany - March 31 2023: Rohde & Schwarz GmbH & Co KG is a leading provider of test and measurement solutions for wireless communications, broadcasting, and electronics industries.","Munich, Bavaria, Germany"
MTU Aero Engines AG,"MTU Aero Engines, MTU, Aero Engines, MTU stock, Munich, Germany, Reiner Winkler, aviation, aerospace, aircraft engines, maintenance, repair, overhaul, MRO, military, commercial, industrial, gas turbines, components, engineering, manufacturing, innovation, technology, sustainability, global, partnerships, investors, financials, growth, leadership, excellence, quality, reliability, customer service, workforce, careers, training, apprenticeships, diversity, inclusion, social responsibility.","Munich, Bavaria, Germany - March 31 2023: MTU Aero Engines AG is a leading provider of aircraft engine solutions, from design to maintenance and repair.","Munich, Bavaria, Germany."
